TRN,tracks file,path,track ID
PLM,GN692_125kPa002_20231017-142851.xml,U:\Upright tracker\TRNs\newVersion\20231017\batch1,0
ALM,GN692_125kPa002_20231017-142851.xml,U:\Upright tracker\TRNs\newVersion\20231017\batch1,1
